ROI Label,ROI Name,R,A,S,Hemisphere,Network,Region,Member,Color
390,17Networks_RH_DefaultC_PHC_2,30,-30,-18,RH,DefaultC,PHC,2,red
188,17Networks_LH_DefaultC_IPL_1,-40,-78,30,LH,DefaultC,IPL,1,red
192,17Networks_LH_DefaultC_PHC_1,-20,-20,-26,LH,DefaultC,PHC,1,red
190,17Networks_LH_DefaultC_Rsp_2,-8,-52,10,LH,DefaultC,Rsp,2,red
194,17Networks_LH_DefaultC_PHC_3,-18,-38,-12,LH,DefaultC,PHC,3,red
69,17Networks_LH_DorsAttnA_SPL_4,-28,-58,50,LH,DorsAttnA,SPL,4,green
68,17Networks_LH_DorsAttnA_SPL_3,-22,-66,46,LH,DorsAttnA,SPL,3,green
67,17Networks_LH_DorsAttnA_SPL_2,-22,-78,44,LH,DorsAttnA,SPL,2,green
66,17Networks_LH_DorsAttnA_SPL_1,-26,-70,30,LH,DorsAttnA,SPL,1,green
65,17Networks_LH_DorsAttnA_ParOcc_2,-32,-84,26,LH,DorsAttnA,ParOcc,2,green
64,17Networks_LH_DorsAttnA_ParOcc_1,-48,-66,16,LH,DorsAttnA,ParOcc,1,green
63,17Networks_LH_DorsAttnA_TempOcc_4,-46,-70,-8,LH,DorsAttnA,TempOcc,4,green
62,17Networks_LH_DorsAttnA_TempOcc_3,-48,-56,-16,LH,DorsAttnA,TempOcc,3,green
61,17Networks_LH_DorsAttnA_TempOcc_2,-32,-42,-20,LH,DorsAttnA,TempOcc,2,green
60,17Networks_LH_DorsAttnA_TempOcc_1,-44,-42,-22,LH,DorsAttnA,TempOcc,1,green
265,17Networks_RH_DorsAttnA_SPL_1,30,-78,36,RH,DorsAttnA,SPL,1,green
264,17Networks_RH_DorsAttnA_ParOcc_3,36,-78,24,RH,DorsAttnA,ParOcc,3,green
263,17Networks_RH_DorsAttnA_ParOcc_2,54,-56,12,RH,DorsAttnA,ParOcc,2,green
262,17Networks_RH_DorsAttnA_ParOcc_1,48,-66,4,RH,DorsAttnA,ParOcc,1,green
261,17Networks_RH_DorsAttnA_TempOcc_3,50,-64,-10,RH,DorsAttnA,TempOcc,3,green
260,17Networks_RH_DorsAttnA_TempOcc_2,50,-50,-18,RH,DorsAttnA,TempOcc,2,green
259,17Networks_RH_DorsAttnA_TempOcc_1,34,-36,-24,RH,DorsAttnA,TempOcc,1,green
268,17Networks_RH_DorsAttnA_SPL_4,30,-64,52,RH,DorsAttnA,SPL,4,green
269,17Networks_RH_DorsAttnA_SPL_5,20,-68,52,RH,DorsAttnA,SPL,5,green
270,17Networks_RH_DorsAttnA_SPL_6,34,-50,54,RH,DorsAttnA,SPL,6,green
271,17Networks_RH_DorsAttnA_SPL_7,26,-58,60,RH,DorsAttnA,SPL,7,green
70,17Networks_LH_DorsAttnA_SPL_5,-36,-52,56,LH,DorsAttnA,SPL,5,green
272,17Networks_RH_DorsAttnA_SPL_8,14,-64,64,RH,DorsAttnA,SPL,8,green
266,17Networks_RH_DorsAttnA_SPL_2,32,-66,36,RH,DorsAttnA,SPL,2,green
71,17Networks_LH_DorsAttnA_SPL_6,-14,-70,58,LH,DorsAttnA,SPL,6,green
267,17Networks_RH_DorsAttnA_SPL_3,18,-78,50,RH,DorsAttnA,SPL,3,green
72,17Networks_LH_DorsAttnA_SPL_7,-28,-62,62,LH,DorsAttnA,SPL,7,green
279,17Networks_RH_DorsAttnB_PostC_6,8,-54,60,RH,DorsAttnB,PostC,6,green
278,17Networks_RH_DorsAttnB_PostC_5,36,-36,52,RH,DorsAttnB,PostC,5,green
277,17Networks_RH_DorsAttnB_PostC_4,46,-28,42,RH,DorsAttnB,PostC,4,green
276,17Networks_RH_DorsAttnB_PostC_3,44,-38,50,RH,DorsAttnB,PostC,3,green
275,17Networks_RH_DorsAttnB_PostC_2,58,-22,44,RH,DorsAttnB,PostC,2,green
